elapsed_s,load_force_n,load_kg,pressure_force_n,pressure_kg_eq,pressure_hpa,error_kg
1.135,-46.875292,-4.779950,-47.044476,-4.797201,1031.2267,-0.017252
1.135,-46.875292,-4.779950,-47.044476,-4.797201,1031.2267,-0.017252
2.879,-46.875292,-4.779950,-47.016209,-4.794319,1031.2824,-0.014369
2.879,-46.875292,-4.779950,-47.016209,-4.794319,1031.2824,-0.014369
3.453,-46.875292,-4.779950,-46.814628,-4.773763,1031.6799,0.006186
3.850,-46.875292,-4.779950,-46.814628,-4.773763,1031.6799,0.006186
3.963,-46.875292,-4.779950,-46.570581,-4.748878,1032.1611,0.031072
4.473,-46.875292,-4.779950,-46.234504,-4.714607,1032.8237,0.065342
4.728,-46.875292,-4.779950,-46.234504,-4.714607,1032.8237,0.065342
4.983,-46.875292,-4.779950,-46.012992,-4.692019,1033.2605,0.087930
5.499,-46.875292,-4.779950,-45.588988,-4.648783,1034.0966,0.131167
5.664,-46.740312,-4.766185,-45.588988,-4.648783,1034.0966,0.117402
6.016,-46.740312,-4.766185,-45.456055,-4.635228,1034.3587,0.130958
6.528,-46.740312,-4.766185,-44.834898,-4.571887,1035.5835,0.194298
6.560,-46.321100,-4.723438,-44.834898,-4.571887,1035.5835,0.151550
7.042,-46.321100,-4.723438,-44.360352,-4.523497,1036.5192,0.199941
7.437,-45.808020,-4.671118,-44.360352,-4.523497,1036.5192,0.147621
7.576,-45.808020,-4.671118,-43.792017,-4.465543,1037.6398,0.205575
8.084,-45.808020,-4.671118,-43.255465,-4.410830,1038.6978,0.260288
8.305,-45.174768,-4.606544,-43.255465,-4.410830,1038.6978,0.195714
8.606,-45.174768,-4.606544,-42.521436,-4.335980,1040.1451,0.270565
9.116,-45.174768,-4.606544,-41.777898,-4.260160,1041.6112,0.346384
9.180,-44.424353,-4.530023,-41.777898,-4.260160,1041.6112,0.269863
9.625,-44.424353,-4.530023,-41.070573,-4.188033,1043.0059,0.341990
10.293,-43.479335,-4.433658,-40.026454,-4.081562,1045.0647,0.352096
10.293,-43.479335,-4.433658,-40.026454,-4.081562,1045.0647,0.352096
12.084,-42.415456,-4.325173,-38.543024,-3.930295,1047.9897,0.394878
12.874,-42.415456,-4.325173,-38.543024,-3.930295,1047.9897,0.394878
13.386,-42.415456,-4.325173,-36.559713,-3.728053,1051.9004,0.597120
13.901,-42.415456,-4.325173,-37.655155,-3.839757,1049.7404,0.485416
14.415,-42.415456,-4.325173,-38.793128,-3.955798,1047.4965,0.369375
14.484,-41.116403,-4.192706,-38.793128,-3.955798,1047.4965,0.236908
14.929,-41.116403,-4.192706,-39.844282,-4.062986,1045.4239,0.129720
15.442,-41.116403,-4.192706,-40.697892,-4.150030,1043.7408,0.042676
15.955,-41.116403,-4.192706,-41.519588,-4.233820,1042.1205,-0.041113
16.468,-41.116403,-4.192706,-42.255831,-4.308896,1040.6688,-0.116189
16.980,-41.116403,-4.192706,-42.981784,-4.382922,1039.2374,-0.190216
17.191,-41.116403,-4.192706,-42.981784,-4.382922,1039.2374,-0.190216
17.493,-41.116403,-4.192706,-43.656088,-4.451682,1037.9078,-0.258976
18.002,-41.116403,-4.192706,-44.136235,-4.500643,1036.9611,-0.307937
18.515,-41.116403,-4.192706,-44.727497,-4.560935,1035.7952,-0.368229
19.028,-41.116403,-4.192706,-45.142187,-4.603222,1034.9776,-0.410516
19.187,-38.777536,-3.954208,-45.142187,-4.603222,1034.9776,-0.649014
19.547,-38.777536,-3.954208,-45.535059,-4.643284,1034.2029,-0.689076
20.001,-38.777536,-3.954208,-45.535059,-4.643284,1034.2029,-0.689076
20.056,-38.777536,-3.954208,-45.926954,-4.683246,1033.4302,-0.729038
20.569,-38.777536,-3.954208,-46.211708,-4.712283,1032.8687,-0.758075
20.873,-42.012134,-4.284045,-46.211708,-4.712283,1032.8687,-0.428237
21.078,-42.012134,-4.284045,-46.467608,-4.738377,1032.3641,-0.454332
21.592,-42.012134,-4.284045,-46.652320,-4.757213,1031.9999,-0.473167
22.105,-42.012134,-4.284045,-46.914604,-4.783958,1031.4827,-0.499913
22.130,-45.155639,-4.604594,-46.914604,-4.783958,1031.4827,-0.179364
22.618,-45.155639,-4.604594,-47.020051,-4.794711,1031.2748,-0.190117
23.131,-45.155639,-4.604594,-47.000968,-4.792765,1031.3124,-0.188171
23.643,-45.155639,-4.604594,-47.003313,-4.793004,1031.3078,-0.188410
24.154,-45.155639,-4.604594,-47.044476,-4.797201,1031.2267,-0.192608
24.668,-45.155639,-4.604594,-46.971724,-4.789783,1031.3701,-0.185189
24.869,-45.866023,-4.677033,-46.971724,-4.789783,1031.3701,-0.112750
25.182,-45.866023,-4.677033,-47.010933,-4.793781,1031.2928,-0.116748
25.691,-45.866023,-4.677033,-46.982666,-4.790899,1031.3485,-0.113866
25.709,-46.344934,-4.725868,-46.982666,-4.790899,1031.3485,-0.065031
