elapsed_s,phase,shape_name,target_depth_mm,report_sample_target,trial,indentation_depth_mm,load_force_n,load_kg,pressure_force_n,pressure_kg_eq,pressure_hpa,pressure_delta_hpa,error_kg,dot_mean_px,dot_max_px,missing_ratio,contact_peak,contact_area_ratio,residual_mean_px,residual_peak_px,surface_scale_px
0.000,down,sim2_circle,-2.500,10,1,0.000000,0.000000,0.000000,0.019613,0.002000,1032.0130,0.0130,0.002000,0.000000,0.120000,0.000000,0.000000,0.000000,0.040000,0.120000,1.000000
0.080,down,sim2_circle,-2.500,10,1,0.056180,0.027130,0.002766,0.057856,0.005900,1032.0383,0.0383,0.003133,0.145191,0.289618,0.000000,0.022472,0.252809,0.040225,0.120449,1.000000
0.640,down,sim2_circle,-2.500,10,1,0.449438,0.178721,0.018224,0.257098,0.026217,1032.1704,0.1704,0.007992,1.015442,1.395895,0.000000,0.179775,2.022472,0.041798,0.123596,1.000000
0.800,down,sim2_circle,-2.500,10,1,0.561798,0.205401,0.020945,0.280694,0.028623,1032.1860,0.1860,0.007678,1.211192,1.698022,0.000000,0.224719,2.528090,0.042247,0.124494,1.000000
1.600,down,sim2_circle,-2.500,10,1,1.123596,0.362920,0.037008,0.346532,0.035336,1032.2297,0.2297,-0.001671,2.409083,3.310951,0.000000,0.449438,5.056180,0.044494,0.128989,1.000000
2.400,down,sim2_circle,-2.500,10,1,1.685393,0.607016,0.061898,0.594227,0.060594,1032.3939,0.3939,-0.001304,3.633552,5.185807,0.000000,0.674157,7.584270,0.046742,0.133483,1.000000
3.520,down,sim2_circle,-2.500,10,1,2.471910,0.829796,0.084616,0.900876,0.091864,1032.5971,0.5971,0.007248,5.384922,7.583165,0.000000,0.988764,11.123596,0.049888,0.139775,1.000000
3.600,up,sim2_circle,-2.500,10,1,2.471910,0.683822,0.069730,0.748590,0.076335,1032.4962,0.4962,0.006604,5.393210,7.563634,0.000000,0.988764,11.123596,0.049888,0.139775,1.000000
4.640,up,sim2_circle,-2.500,10,1,1.741573,0.491578,0.050127,0.452369,0.046129,1032.2998,0.2998,-0.003998,3.683259,5.202985,0.000000,0.696629,7.837079,0.046966,0.133933,1.000000
7.120,up,sim2_circle,-2.500,10,1,0.000000,-0.026256,-0.002677,-0.061527,-0.006274,1031.9592,-0.0408,-0.003597,0.050573,-0.100509,0.000000,0.000000,0.000000,0.040000,0.120000,1.000000
