elapsed_s,phase,shape_name,target_depth_mm,report_sample_target,trial,indentation_depth_mm,load_force_n,load_kg,pressure_force_n,pressure_kg_eq,pressure_hpa,pressure_delta_hpa,error_kg,dot_mean_px,dot_max_px,missing_ratio,contact_peak,contact_area_ratio,residual_mean_px,residual_peak_px,surface_scale_px
0.000,down,sim2_circle,-2.500,10,1,0.000000,0.000000,0.000000,0.019613,0.002000,1032.0130,0.0130,0.002000,0.000000,0.120000,0.000000,0.000000,0.000000,0.040000,0.120000,1.000000
0.080,down,sim2_circle,-2.500,10,1,0.056180,0.027130,0.002766,0.057856,0.005900,1032.0383,0.0383,0.003133,0.145191,0.289618,0.000000,0.022472,0.252809,0.040225,0.120449,1.000000
0.160,down,sim2_circle,-2.500,10,1,0.112360,0.053691,0.005475,0.095130,0.009701,1032.0631,0.0631,0.004226,0.288056,0.455827,0.000000,0.044944,0.505618,0.040449,0.120899,1.000000
0.240,down,sim2_circle,-2.500,10,1,0.168539,0.079157,0.008072,0.130522,0.013310,1032.0865,0.0865,0.005238,0.426489,0.618774,0.000000,0.067416,0.758427,0.040674,0.121348,1.000000
0.320,down,sim2_circle,-2.500,10,1,0.224719,0.103078,0.010511,0.163227,0.016645,1032.1082,0.1082,0.006134,0.558809,0.778702,0.000000,0.089888,1.011236,0.040899,0.121798,1.000000
0.400,down,sim2_circle,-2.500,10,1,0.280899,0.125119,0.012759,0.192594,0.019639,1032.1277,0.1277,0.006880,0.683915,0.935940,0.000000,0.112360,1.264045,0.041124,0.122247,1.000000
0.480,down,sim2_circle,-2.500,10,1,0.337079,0.145081,0.014794,0.218158,0.022246,1032.1446,0.1446,0.007452,0.801397,1.090894,0.000000,0.134831,1.516854,0.041348,0.122697,1.000000
0.560,down,sim2_circle,-2.500,10,1,0.393258,0.162913,0.016613,0.239669,0.024439,1032.1589,0.1589,0.007827,0.911568,1.244037,0.000000,0.157303,1.769663,0.041573,0.123146,1.000000
0.640,down,sim2_circle,-2.500,10,1,0.449438,0.178721,0.018224,0.257098,0.026217,1032.1704,0.1704,0.007992,1.015442,1.395895,0.000000,0.179775,2.022472,0.041798,0.123596,1.000000
0.720,down,sim2_circle,-2.500,10,1,0.505618,0.192757,0.019656,0.270641,0.027598,1032.1794,0.1794,0.007942,1.114630,1.547029,0.000000,0.202247,2.275281,0.042022,0.124045,1.000000
