elapsed_s,phase,shape_name,target_depth_mm,report_sample_target,trial,indentation_depth_mm,load_force_n,load_kg,pressure_force_n,pressure_kg_eq,pressure_hpa,pressure_delta_hpa,error_kg,dot_mean_px,dot_max_px,missing_ratio,contact_peak,contact_area_ratio,residual_mean_px,residual_peak_px,surface_scale_px
0.000,down,sim2_square,-5.000,25,1,0.000000,0.000000,0.000000,0.019613,0.002000,1032.0130,0.0130,0.002000,0.000000,0.120000,0.000000,0.000000,0.000000,0.040000,0.120000,1.000000
0.080,down,sim2_square,-5.000,25,1,0.112360,0.046413,0.004733,0.077138,0.007866,1032.0511,0.0511,0.003133,0.265978,0.460967,0.000000,0.022472,0.505618,0.040225,0.120449,1.000000
0.320,down,sim2_square,-5.000,25,1,0.449438,0.180209,0.018376,0.240358,0.024510,1032.1593,0.1593,0.006134,1.041955,1.464095,0.000000,0.089888,2.022472,0.040899,0.121798,1.000000
0.560,down,sim2_square,-5.000,25,1,0.786517,0.297892,0.030377,0.374648,0.038203,1032.2483,0.2483,0.007827,1.757074,2.443476,0.000000,0.157303,3.539326,0.041573,0.123146,1.000000
0.640,down,sim2_square,-5.000,25,1,0.898876,0.332983,0.033955,0.411360,0.041947,1032.2727,0.2727,0.007992,1.981734,2.766682,0.000000,0.179775,4.044944,0.041798,0.123596,1.000000
0.880,down,sim2_square,-5.000,25,1,1.235955,0.429244,0.043771,0.499943,0.050980,1032.3314,0.3314,0.007209,2.636088,3.734292,0.000000,0.247191,5.561798,0.042472,0.124944,1.000000
1.200,down,sim2_square,-5.000,25,1,1.685393,0.555284,0.056623,0.591812,0.060348,1032.3923,0.3923,0.003725,3.543751,5.040843,0.000000,0.337079,7.584270,0.043371,0.126742,1.000000
1.520,down,sim2_square,-5.000,25,1,2.134831,0.705852,0.071977,0.698902,0.071268,1032.4632,0.4632,-0.000709,4.559237,6.391705,0.000000,0.426966,9.606742,0.044270,0.128539,1.000000
1.760,down,sim2_square,-5.000,25,1,2.471910,0.838541,0.085507,0.807458,0.082338,1032.5352,0.5352,-0.003170,5.355519,7.440178,0.000000,0.494382,11.123596,0.044944,0.129888,1.000000
2.080,down,sim2_square,-5.000,25,1,2.921348,1.022471,0.104263,0.984762,0.100418,1032.6527,0.6527,-0.003845,6.359207,8.875523,0.000000,0.584270,13.146067,0.045843,0.131685,1.000000
2.400,down,sim2_square,-5.000,25,1,3.370787,1.185498,0.120887,1.172709,0.119583,1032.7773,0.7773,-0.001304,7.257147,10.326256,0.000000,0.674157,15.168539,0.046742,0.133483,1.000000
2.640,down,sim2_square,-5.000,25,1,3.707865,1.287145,0.131252,1.305983,0.133173,1032.8656,0.8656,0.001921,7.914231,11.402810,0.000000,0.741573,16.685393,0.047416,0.134831,1.000000
2.960,down,sim2_square,-5.000,25,1,4.157303,1.411165,0.143899,1.470749,0.149975,1032.9748,0.9748,0.006076,8.867038,12.799772,0.000000,0.831461,18.707865,0.048315,0.136629,1.000000
3.280,down,sim2_square,-5.000,25,1,4.606742,1.551846,0.158244,1.630179,0.166232,1033.0805,1.0805,0.007988,9.915945,14.143354,0.000000,0.921348,20.730337,0.049213,0.138427,1.000000
3.440,down,sim2_square,-5.000,25,1,4.831461,1.634276,0.166650,1.709816,0.174353,1033.1333,1.1333,0.007703,10.442964,14.798061,0.000000,0.966292,21.741573,0.049663,0.139326,1.000000
3.520,down,sim2_square,-5.000,25,1,4.943820,1.678237,0.171133,1.749316,0.178381,1033.1595,1.1595,0.007248,10.699528,15.122491,0.000000,0.988764,22.247191,0.049888,0.139775,1.000000
3.600,up,sim2_square,-5.000,25,1,4.943820,1.379544,0.140674,1.444311,0.147279,1032.9573,0.9573,0.006604,10.707816,15.102960,0.000000,0.988764,22.247191,0.049888,0.139775,1.000000
3.840,up,sim2_square,-5.000,25,1,4.606742,1.307855,0.133364,1.345125,0.137165,1032.8916,0.8916,0.003800,9.963419,14.014410,0.000000,0.921348,20.730337,0.049213,0.138427,1.000000
4.160,up,sim2_square,-5.000,25,1,4.157303,1.199358,0.122300,1.193101,0.121662,1032.7908,0.7908,-0.000638,8.906164,12.579715,0.000000,0.831461,18.707865,0.048315,0.136629,1.000000
4.480,up,sim2_square,-5.000,25,1,3.707865,1.059900,0.108080,1.024354,0.104455,1032.6790,0.6790,-0.003625,7.892174,11.189532,0.000000,0.741573,16.685393,0.047416,0.134831,1.000000
4.640,up,sim2_square,-5.000,25,1,3.483146,0.981745,0.100110,0.942536,0.096112,1032.6247,0.6247,-0.003998,7.427641,10.514782,0.000000,0.696629,15.674157,0.046966,0.133933,1.000000
4.720,up,sim2_square,-5.000,25,1,3.370787,0.942232,0.096081,0.904353,0.092218,1032.5994,0.5994,-0.003863,7.204726,10.182214,0.000000,0.674157,15.168539,0.046742,0.133483,1.000000
5.040,up,sim2_square,-5.000,25,1,2.921348,0.793852,0.080950,0.780418,0.079581,1032.5173,0.5173,-0.001370,6.331230,8.876307,0.000000,0.584270,13.146067,0.045843,0.131685,1.000000
5.360,up,sim2_square,-5.000,25,1,2.471910,0.675463,0.068878,0.704661,0.071855,1032.4671,0.4671,0.002977,5.389766,7.585439,0.000000,0.494382,11.123596,0.044944,0.129888,1.000000
7.120,up,sim2_square,-5.000,25,1,0.000000,-0.026256,-0.002677,-0.061527,-0.006274,1031.9592,-0.0408,-0.003597,0.050573,-0.100509,0.000000,0.000000,0.000000,0.040000,0.120000,1.000000
