elapsed_s,phase,shape_name,target_depth_mm,report_sample_target,trial,indentation_depth_mm,load_force_n,load_kg,pressure_force_n,pressure_kg_eq,pressure_hpa,pressure_delta_hpa,error_kg,dot_mean_px,dot_max_px,missing_ratio,contact_peak,contact_area_ratio,residual_mean_px,residual_peak_px,surface_scale_px
0.000,down,sim2_square,-5.000,25,1,0.000000,0.000000,0.000000,0.019613,0.002000,1032.0130,0.0130,0.002000,0.000000,0.120000,0.000000,0.000000,0.000000,0.040000,0.120000,1.000000
0.080,down,sim2_square,-5.000,25,1,0.112360,0.046413,0.004733,0.077138,0.007866,1032.0511,0.0511,0.003133,0.265978,0.460967,0.000000,0.022472,0.505618,0.040225,0.120449,1.000000
0.160,down,sim2_square,-5.000,25,1,0.224719,0.092257,0.009408,0.133695,0.013633,1032.0886,0.0886,0.004226,0.529629,0.798524,0.000000,0.044944,1.011236,0.040449,0.120899,1.000000
0.240,down,sim2_square,-5.000,25,1,0.337079,0.137005,0.013971,0.188370,0.019208,1032.1249,0.1249,0.005238,0.788849,1.132819,0.000000,0.067416,1.516854,0.040674,0.121348,1.000000
0.320,down,sim2_square,-5.000,25,1,0.449438,0.180209,0.018376,0.240358,0.024510,1032.1593,0.1593,0.006134,1.041955,1.464095,0.000000,0.089888,2.022472,0.040899,0.121798,1.000000
0.400,down,sim2_square,-5.000,25,1,0.561798,0.221533,0.022590,0.289008,0.029471,1032.1916,0.1916,0.006880,1.287848,1.792681,0.000000,0.112360,2.528090,0.041124,0.122247,1.000000
0.480,down,sim2_square,-5.000,25,1,0.674157,0.260777,0.026592,0.333854,0.034044,1032.2213,0.2213,0.007452,1.526116,2.118984,0.000000,0.134831,3.033708,0.041348,0.122697,1.000000
0.560,down,sim2_square,-5.000,25,1,0.786517,0.297892,0.030377,0.374648,0.038203,1032.2483,0.2483,0.007827,1.757074,2.443476,0.000000,0.157303,3.539326,0.041573,0.123146,1.000000
0.640,down,sim2_square,-5.000,25,1,0.898876,0.332983,0.033955,0.411360,0.041947,1032.2727,0.2727,0.007992,1.981734,2.766682,0.000000,0.179775,4.044944,0.041798,0.123596,1.000000
0.720,down,sim2_square,-5.000,25,1,1.011236,0.366302,0.037352,0.444186,0.045294,1032.2944,0.2944,0.007942,2.201709,3.089164,0.000000,0.202247,4.550562,0.042022,0.124045,1.000000
0.800,down,sim2_square,-5.000,25,1,1.123596,0.398228,0.040608,0.473522,0.048286,1032.3139,0.3139,0.007678,2.419057,3.411505,0.000000,0.224719,5.056180,0.042247,0.124494,1.000000
0.880,down,sim2_square,-5.000,25,1,1.235955,0.429244,0.043771,0.499943,0.050980,1032.3314,0.3314,0.007209,2.636088,3.734292,0.000000,0.247191,5.561798,0.042472,0.124944,1.000000
0.960,down,sim2_square,-5.000,25,1,1.348315,0.459895,0.046896,0.524161,0.053450,1032.3474,0.3474,0.006553,2.855141,4.058098,0.000000,0.269663,6.067416,0.042697,0.125393,1.000000
1.040,down,sim2_square,-5.000,25,1,1.460674,0.490756,0.050043,0.546982,0.055777,1032.3625,0.3625,0.005733,3.078364,4.383469,0.000000,0.292135,6.573034,0.042921,0.125843,1.000000
1.120,down,sim2_square,-5.000,25,1,1.573034,0.522385,0.053268,0.569252,0.058048,1032.3773,0.3773,0.004779,3.307506,4.710904,0.000000,0.314607,7.078652,0.043146,0.126292,1.000000
1.200,down,sim2_square,-5.000,25,1,1.685393,0.555284,0.056623,0.591812,0.060348,1032.3923,0.3923,0.003725,3.543751,5.040843,0.000000,0.337079,7.584270,0.043371,0.126742,1.000000
1.280,down,sim2_square,-5.000,25,1,1.797753,0.589864,0.060149,0.615444,0.062758,1032.4079,0.4079,0.002609,3.787608,5.373653,0.000000,0.359551,8.089888,0.043596,0.127191,1.000000
1.360,down,sim2_square,-5.000,25,1,1.910112,0.626413,0.063876,0.640831,0.065347,1032.4248,0.4248,0.001470,4.038860,5.709621,0.000000,0.382022,8.595506,0.043820,0.127640,1.000000
1.440,down,sim2_square,-5.000,25,1,2.022472,0.665079,0.067819,0.668521,0.068170,1032.4431,0.4431,0.000351,4.296583,6.048939,0.000000,0.404494,9.101124,0.044045,0.128090,1.000000
1.520,down,sim2_square,-5.000,25,1,2.134831,0.705852,0.071977,0.698902,0.071268,1032.4632,0.4632,-0.000709,4.559237,6.391705,0.000000,0.426966,9.606742,0.044270,0.128539,1.000000
1.600,down,sim2_square,-5.000,25,1,2.247191,0.748575,0.076333,0.732187,0.074662,1032.4853,0.4853,-0.001671,4.824814,6.737917,0.000000,0.449438,10.112360,0.044494,0.128989,1.000000
1.680,down,sim2_square,-5.000,25,1,2.359551,0.792945,0.080858,0.768415,0.078356,1032.5093,0.5093,-0.002501,5.091024,7.087474,0.000000,0.471910,10.617978,0.044719,0.129438,1.000000
