elapsed_s,phase,shape_name,target_depth_mm,report_sample_target,trial,indentation_depth_mm,load_force_n,load_kg,pressure_force_n,pressure_kg_eq,pressure_hpa,pressure_delta_hpa,error_kg,dot_mean_px,dot_max_px,missing_ratio,contact_peak,contact_area_ratio,residual_mean_px,residual_peak_px,surface_scale_px
0.000,down,sim2_star,-7.500,30,1,0.000000,0.000000,0.000000,0.019613,0.002000,1032.0130,0.0130,0.002000,0.000000,0.120000,0.000000,0.000000,0.000000,0.040000,0.120000,1.000000
0.080,down,sim2_star,-7.500,30,1,0.168539,0.065695,0.006699,0.096421,0.009832,1032.0639,0.0639,0.003133,0.386764,0.632315,0.000000,0.022472,0.758427,0.040225,0.120449,1.000000
0.240,down,sim2_star,-7.500,30,1,0.505618,0.194853,0.019869,0.246218,0.025107,1032.1632,0.1632,0.005238,1.151208,1.646864,0.000000,0.067416,2.275281,0.040674,0.121348,1.000000
0.480,down,sim2_star,-7.500,30,1,1.011236,0.376474,0.038390,0.449551,0.045841,1032.2980,0.2980,0.007452,2.250835,3.147074,0.000000,0.134831,4.550562,0.041348,0.122697,1.000000
0.640,down,sim2_star,-7.500,30,1,1.348315,0.487245,0.049685,0.565622,0.057677,1032.3749,0.3749,0.007992,2.948026,4.137468,0.000000,0.179775,6.067416,0.041798,0.123596,1.000000
0.720,down,sim2_star,-7.500,30,1,1.516854,0.539846,0.055049,0.617730,0.062991,1032.4094,0.4094,0.007942,3.288787,4.631299,0.000000,0.202247,6.825843,0.042022,0.124045,1.000000
0.960,down,sim2_star,-7.500,30,1,2.022472,0.691288,0.070492,0.755554,0.077045,1032.5008,0.5008,0.006553,4.304579,6.114278,0.000000,0.269663,9.101124,0.042697,0.125393,1.000000
1.200,down,sim2_star,-7.500,30,1,2.528090,0.844525,0.086118,0.881053,0.089842,1032.5840,0.5840,0.003725,5.355549,7.611068,0.000000,0.337079,11.376404,0.043371,0.126742,1.000000
1.440,down,sim2_star,-7.500,30,1,3.033708,1.012168,0.103212,1.015611,0.103563,1032.6732,0.6732,0.000351,6.470740,9.133208,0.000000,0.404494,13.651685,0.044045,0.128090,1.000000
1.680,down,sim2_star,-7.500,30,1,3.539326,1.197882,0.122150,1.173352,0.119649,1032.7777,0.7777,-0.002501,7.627541,10.685788,0.000000,0.471910,15.926966,0.044719,0.129438,1.000000
2.000,down,sim2_star,-7.500,30,1,4.213483,1.459446,0.148822,1.420261,0.144826,1032.9414,0.9414,-0.003996,9.138557,12.797593,0.000000,0.561798,18.960674,0.045618,0.131236,1.000000
2.240,down,sim2_star,-7.500,30,1,4.719101,1.647908,0.168040,1.619213,0.165114,1033.0732,1.0732,-0.002926,10.200292,14.398970,0.000000,0.629213,21.235955,0.046292,0.132584,1.000000
2.480,down,sim2_star,-7.500,30,1,5.224719,1.818884,0.185475,1.815954,0.185176,1033.2036,1.2036,-0.000299,11.218413,15.998893,0.000000,0.696629,23.511236,0.046966,0.133933,1.000000
2.720,down,sim2_star,-7.500,30,1,5.730337,1.973969,0.201289,2.003932,0.204344,1033.3282,1.3282,0.003055,12.248384,17.582654,0.000000,0.764045,25.786517,0.047640,0.135281,1.000000
2.960,down,sim2_star,-7.500,30,1,6.235955,2.124627,0.216652,2.184210,0.222727,1033.4477,1.4477,0.006076,13.336139,19.139660,0.000000,0.831461,28.061798,0.048315,0.136629,1.000000
3.200,down,sim2_star,-7.500,30,1,6.741573,2.285070,0.233012,2.361635,0.240820,1033.5653,1.5653,0.007808,14.481134,20.666125,0.000000,0.898876,30.337079,0.048989,0.137978,1.000000
3.440,down,sim2_star,-7.500,30,1,7.247191,2.463434,0.251200,2.538974,0.258903,1033.6829,1.6829,0.007703,15.636784,22.166038,0.000000,0.966292,32.612360,0.049663,0.139326,1.000000
3.520,down,sim2_star,-7.500,30,1,7.415730,2.526677,0.257649,2.597757,0.264897,1033.7218,1.7218,0.007248,16.014135,22.661816,0.000000,0.988764,33.370787,0.049888,0.139775,1.000000
3.600,up,sim2_star,-7.500,30,1,7.415730,2.075265,0.211618,2.140032,0.218223,1033.4184,1.4184,0.006604,16.022423,22.642286,0.000000,0.988764,33.370787,0.049888,0.139775,1.000000
3.680,up,sim2_star,-7.500,30,1,7.247191,2.035437,0.207557,2.092267,0.213352,1033.3868,1.3868,0.005795,15.660858,22.108010,0.000000,0.966292,32.612360,0.049663,0.139326,1.000000
3.920,up,sim2_star,-7.500,30,1,6.741573,1.915544,0.195331,1.941896,0.198018,1033.2871,1.2871,0.002687,14.533991,20.506808,0.000000,0.898876,30.337079,0.048989,0.137978,1.000000
4.160,up,sim2_star,-7.500,30,1,6.235955,1.784396,0.181958,1.778140,0.181320,1033.1786,1.1786,-0.000638,13.375265,18.919603,0.000000,0.831461,28.061798,0.048315,0.136629,1.000000
4.400,up,sim2_star,-7.500,30,1,5.730337,1.635065,0.166730,1.604380,0.163601,1033.0634,1.0634,-0.003129,12.242309,17.357863,0.000000,0.764045,25.786517,0.047640,0.135281,1.000000
4.560,up,sim2_star,-7.500,30,1,5.393258,1.527135,0.155724,1.488713,0.151806,1032.9867,0.9867,-0.003918,11.521551,16.333634,0.000000,0.719101,24.269663,0.047191,0.134382,1.000000
4.640,up,sim2_star,-7.500,30,1,5.224719,1.471912,0.150093,1.432703,0.146095,1032.9496,0.9496,-0.003998,11.172023,15.826580,0.000000,0.696629,23.511236,0.046966,0.133933,1.000000
4.880,up,sim2_star,-7.500,30,1,4.719101,1.307884,0.133367,1.278750,0.130396,1032.8476,0.8476,-0.002971,10.150900,14.322991,0.000000,0.629213,21.235955,0.046292,0.132584,1.000000
5.120,up,sim2_star,-7.500,30,1,4.213483,1.156469,0.117927,1.152824,0.117555,1032.7641,0.7641,-0.000372,9.125890,12.837286,0.000000,0.561798,18.960674,0.045618,0.131236,1.000000
5.440,up,sim2_star,-7.500,30,1,3.539326,0.982312,0.100168,1.022302,0.104246,1032.6776,0.6776,0.004078,7.672767,10.859136,0.000000,0.471910,15.926966,0.044719,0.129438,1.000000
5.680,up,sim2_star,-7.500,30,1,3.033708,0.863107,0.088012,0.929662,0.094799,1032.6162,0.6162,0.006787,6.520964,9.358327,0.000000,0.404494,13.651685,0.044045,0.128090,1.000000
7.120,up,sim2_star,-7.500,30,1,0.000000,-0.026256,-0.002677,-0.061527,-0.006274,1031.9592,-0.0408,-0.003597,0.050573,-0.100509,0.000000,0.000000,0.000000,0.040000,0.120000,1.000000
