elapsed_s,phase,shape_name,target_depth_mm,report_sample_target,trial,indentation_depth_mm,load_force_n,load_kg,pressure_force_n,pressure_kg_eq,pressure_hpa,pressure_delta_hpa,error_kg,dot_mean_px,dot_max_px,missing_ratio,contact_peak,contact_area_ratio,residual_mean_px,residual_peak_px,surface_scale_px
0.000,down,circle,-2.500,10,1,0.000000,0.000000,0.000000,0.014710,0.001500,1032.0093,0.0093,0.001500,0.000000,0.080000,0.000000,0.000000,0.000000,0.000000,0.057600,0.494000
0.070,down,circle,-2.500,10,1,0.042017,0.018098,0.001845,0.039058,0.003983,1032.0247,0.0247,0.002137,0.102114,0.199742,0.000000,0.016471,0.168067,0.056163,0.143814,0.559858
0.910,down,circle,-2.500,10,1,0.546218,0.189970,0.019372,0.238930,0.024364,1032.1511,0.1511,0.004993,1.042675,1.504951,0.000000,0.214118,2.184874,0.573471,1.083565,1.277723
1.820,down,circle,-2.500,10,1,1.092437,0.349864,0.035676,0.331182,0.033771,1032.2094,0.2094,-0.001905,2.175175,3.244418,0.000000,0.428235,4.369748,1.196346,2.335981,2.234430
2.800,down,circle,-2.500,10,1,1.680672,0.577142,0.058852,0.596423,0.060818,1032.3771,0.3771,0.001966,3.400757,4.795962,0.000000,0.658824,6.722689,1.870416,3.453093,3.087779
3.430,down,circle,-2.500,10,1,2.058824,0.671535,0.068478,0.725468,0.073977,1032.4587,0.4587,0.005500,4.084695,5.992268,0.000000,0.807059,8.235294,2.246582,4.314433,3.745747
3.710,down,circle,-2.500,10,1,2.226891,0.723067,0.073732,0.769565,0.078474,1032.4865,0.4865,0.004741,4.488244,6.532384,0.000000,0.872941,8.907563,2.468534,4.703316,4.042811
4.130,down,circle,-2.500,10,1,2.478992,0.823119,0.083935,0.837232,0.085374,1032.5293,0.5293,0.001439,4.966006,7.232055,0.000000,0.971765,9.915966,2.731303,5.207080,4.427630
7.560,up,circle,-2.500,10,1,0.462185,0.116981,0.011929,0.092464,0.009429,1032.0585,0.0585,-0.002500,0.962929,1.416933,0.000000,0.181176,1.848739,0.529611,1.020192,1.229313
8.330,up,circle,-2.500,10,1,0.000000,-0.002790,-0.000285,0.019345,0.001973,1032.0122,0.0122,0.002257,0.002384,-0.049457,0.000000,0.000000,0.000000,0.001311,0.000000,0.450000
