elapsed_s,phase,shape_name,target_depth_mm,report_sample_target,trial,indentation_depth_mm,load_force_n,load_kg,pressure_force_n,pressure_kg_eq,pressure_hpa,pressure_delta_hpa,error_kg,dot_mean_px,dot_max_px,missing_ratio,contact_peak,contact_area_ratio,residual_mean_px,residual_peak_px,surface_scale_px
0.000,down,circle,-2.500,10,1,0.000000,0.000000,0.000000,0.014710,0.001500,1032.0093,0.0093,0.001500,0.000000,0.080000,0.000000,0.000000,0.000000,0.000000,0.057600,0.494000
0.070,down,circle,-2.500,10,1,0.042017,0.018098,0.001845,0.039058,0.003983,1032.0247,0.0247,0.002137,0.102114,0.199742,0.000000,0.016471,0.168067,0.056163,0.143814,0.559858
0.140,down,circle,-2.500,10,1,0.084034,0.036017,0.003673,0.063066,0.006431,1032.0399,0.0399,0.002758,0.201782,0.315382,0.000000,0.032941,0.336134,0.110980,0.227075,0.623460
0.210,down,circle,-2.500,10,1,0.126050,0.053584,0.005464,0.086408,0.008811,1032.0546,0.0546,0.003347,0.296886,0.427246,0.000000,0.049412,0.504202,0.163287,0.307617,0.684985
0.280,down,circle,-2.500,10,1,0.168067,0.070643,0.007204,0.108779,0.011092,1032.0688,0.0688,0.003889,0.385928,0.535861,0.000000,0.065882,0.672269,0.212261,0.385820,0.744723
0.350,down,circle,-2.500,10,1,0.210084,0.087061,0.008878,0.129910,0.013247,1032.0821,0.0821,0.004369,0.468232,0.641923,0.000000,0.082353,0.840336,0.257528,0.462184,0.803057
0.420,down,circle,-2.500,10,1,0.252101,0.102731,0.010476,0.149575,0.015252,1032.0946,0.0946,0.004777,0.544030,0.746264,0.000000,0.098824,1.008403,0.299216,0.537310,0.860445
0.490,down,circle,-2.500,10,1,0.294118,0.117580,0.011990,0.167598,0.017090,1032.1060,0.1060,0.005100,0.614438,0.849806,0.000000,0.115294,1.176471,0.337941,0.611860,0.917393
0.560,down,circle,-2.500,10,1,0.336134,0.131572,0.013417,0.183862,0.018749,1032.1162,0.1162,0.005332,0.681299,0.953513,0.000000,0.131765,1.344538,0.374714,0.686529,0.974432
0.630,down,circle,-2.500,10,1,0.378151,0.144708,0.014756,0.198310,0.020222,1032.1254,0.1254,0.005466,0.746938,1.058341,0.000000,0.148235,1.512605,0.410816,0.762005,1.032087
