elapsed_s,phase,shape_name,target_depth_mm,report_sample_target,trial,indentation_depth_mm,load_force_n,load_kg,pressure_force_n,pressure_kg_eq,pressure_hpa,pressure_delta_hpa,error_kg,dot_mean_px,dot_max_px,missing_ratio,contact_peak,contact_area_ratio,residual_mean_px,residual_peak_px,surface_scale_px
0.000,down,square,-5.000,25,1,0.000000,0.000000,0.000000,0.014710,0.001500,1032.0093,0.0093,0.001500,0.000000,0.080000,0.000000,0.000000,0.000000,0.000000,0.057600,0.494000
0.070,down,square,-5.000,25,1,0.084034,0.034629,0.003531,0.055589,0.005668,1032.0351,0.0351,0.002137,0.201274,0.343524,0.000000,0.016471,0.366387,0.110701,0.247337,0.638938
0.350,down,square,-5.000,25,1,0.420168,0.169717,0.017306,0.212566,0.021676,1032.1344,0.1344,0.004369,0.964030,1.360830,0.000000,0.082353,1.831933,0.530217,0.979798,1.198457
0.700,down,square,-5.000,25,1,0.840336,0.322337,0.032869,0.376257,0.038368,1032.2379,0.2379,0.005498,1.805441,2.603000,0.000000,0.164706,3.663866,0.992993,1.874160,1.881650
1.050,down,square,-5.000,25,1,1.260504,0.457946,0.046697,0.499152,0.050899,1032.3156,0.3156,0.004202,2.714437,3.908228,0.000000,0.247059,5.495798,1.492940,2.813924,2.599526
1.400,down,square,-5.000,25,1,1.680672,0.593720,0.060543,0.606140,0.061809,1032.3832,0.3832,0.001267,3.708801,5.303633,0.000000,0.329412,7.327731,2.039841,3.818616,3.366998
1.750,down,square,-5.000,25,1,2.100840,0.746671,0.076139,0.731694,0.074612,1032.4626,0.4626,-0.001527,4.588526,6.709652,0.000000,0.411765,9.159664,2.523690,4.830949,4.140308
2.100,down,square,-5.000,25,1,2.521008,0.916551,0.093462,0.892185,0.090978,1032.5641,0.5641,-0.002485,5.446071,8.034166,0.000000,0.494118,10.991597,2.995339,5.784599,4.868791
2.450,down,square,-5.000,25,1,2.941176,1.086100,0.110751,1.076047,0.109726,1032.6803,0.6803,-0.001025,6.430479,9.281478,0.000000,0.576471,12.823529,3.536764,6.682664,5.554813
2.800,down,square,-5.000,25,1,3.361345,1.238390,0.126281,1.257672,0.128247,1032.7951,0.7951,0.001966,7.367144,10.547223,0.000000,0.658824,14.655462,4.051929,7.594000,6.250972
3.150,down,square,-5.000,25,1,3.781513,1.373837,0.140092,1.419680,0.144767,1032.8976,0.8976,0.004675,8.203260,11.905229,0.000000,0.741176,16.487395,4.511793,8.571765,6.997876
3.430,down,square,-5.000,25,1,4.117647,1.481564,0.151078,1.535497,0.156577,1032.9708,0.9708,0.005500,8.943518,13.037562,0.000000,0.807059,17.952941,4.918935,9.387045,7.620659
3.500,down,square,-5.000,25,1,4.201681,1.509782,0.153955,1.563301,0.159412,1032.9884,0.9884,0.005457,9.142540,13.320177,0.000000,0.823529,18.319328,5.028397,9.590527,7.776097
3.850,down,square,-5.000,25,1,4.621849,1.663064,0.169585,1.700718,0.173425,1033.0752,1.0752,0.003840,10.125507,14.689384,0.000000,0.905882,20.151261,5.569029,10.576357,8.529161
4.130,down,square,-5.000,25,1,4.957983,1.798461,0.183392,1.812573,0.184831,1033.1460,1.1460,0.001439,10.816426,15.715164,0.000000,0.971765,21.616807,5.949034,11.314918,9.093340
4.200,up,square,-5.000,25,1,4.957983,1.514257,0.154411,1.522129,0.155214,1032.9623,0.9623,0.000803,10.798037,15.698650,0.000000,0.971765,21.616807,5.938920,11.303028,9.084258
4.480,up,square,-5.000,25,1,4.621849,1.426018,0.145413,1.412175,0.144002,1032.8928,0.8928,-0.001412,10.025978,14.565633,0.000000,0.905882,20.151261,5.514288,10.487255,8.461098
4.830,up,square,-5.000,25,1,4.201681,1.301115,0.132677,1.276637,0.130181,1032.8071,0.8071,-0.002496,9.179008,13.202561,0.000000,0.823529,18.319328,5.048455,9.505844,7.711408
5.180,up,square,-5.000,25,1,3.781513,1.157718,0.118054,1.146375,0.116898,1032.7248,0.7248,-0.001157,8.282687,11.932891,0.000000,0.741176,16.487395,4.555478,8.591681,7.013090
5.530,up,square,-5.000,25,1,3.361345,1.011026,0.103096,1.028621,0.104890,1032.6503,0.6503,0.001794,7.286896,10.687438,0.000000,0.658824,14.655462,4.007793,7.694956,6.328091
5.880,up,square,-5.000,25,1,2.941176,0.879549,0.089689,0.924333,0.094256,1032.5844,0.5844,0.004567,6.395283,9.368368,0.000000,0.576471,12.823529,3.517405,6.745225,5.602603
6.230,up,square,-5.000,25,1,2.521008,0.766510,0.078162,0.820239,0.083641,1032.5186,0.5186,0.005479,5.545718,7.964937,0.000000,0.494118,10.991597,3.050145,5.734755,4.830716
6.580,up,square,-5.000,25,1,2.100840,0.656601,0.066955,0.695608,0.070932,1032.4398,0.4398,0.003978,4.568799,6.566203,0.000000,0.411765,9.159664,2.512840,4.727666,4.061412
7.560,up,square,-5.000,25,1,0.924370,0.269729,0.027505,0.245212,0.025005,1032.1550,0.1550,-0.002500,2.053685,2.998529,0.000000,0.181176,4.030252,1.129527,2.158941,2.099191
8.330,up,square,-5.000,25,1,0.000000,-0.002790,-0.000285,0.019345,0.001973,1032.0122,0.0122,0.002257,0.002384,-0.049457,0.000000,0.000000,0.000000,0.001311,0.000000,0.450000
