elapsed_s,phase,shape_name,target_depth_mm,report_sample_target,trial,indentation_depth_mm,load_force_n,load_kg,pressure_force_n,pressure_kg_eq,pressure_hpa,pressure_delta_hpa,error_kg,dot_mean_px,dot_max_px,missing_ratio,contact_peak,contact_area_ratio,residual_mean_px,residual_peak_px,surface_scale_px
0.000,down,square,-5.000,25,1,0.000000,0.000000,0.000000,0.014710,0.001500,1032.0093,0.0093,0.001500,0.000000,0.080000,0.000000,0.000000,0.000000,0.000000,0.057600,0.494000
0.070,down,square,-5.000,25,1,0.084034,0.034629,0.003531,0.055589,0.005668,1032.0351,0.0351,0.002137,0.201274,0.343524,0.000000,0.016471,0.366387,0.110701,0.247337,0.638938
0.140,down,square,-5.000,25,1,0.168067,0.069079,0.007044,0.096128,0.009802,1032.0608,0.0608,0.002758,0.400101,0.602945,0.000000,0.032941,0.732773,0.220056,0.434120,0.781620
0.210,down,square,-5.000,25,1,0.252101,0.103177,0.010521,0.136001,0.013868,1032.0860,0.0860,0.003347,0.594365,0.858590,0.000000,0.049412,1.099160,0.326901,0.618185,0.922225
0.280,down,square,-5.000,25,1,0.336134,0.136768,0.013946,0.174904,0.017835,1032.1106,0.1106,0.003889,0.782567,1.110987,0.000000,0.065882,1.465546,0.430412,0.799910,1.061043
0.350,down,square,-5.000,25,1,0.420168,0.169717,0.017306,0.212566,0.021676,1032.1344,0.1344,0.004369,0.964030,1.360830,0.000000,0.082353,1.831933,0.530217,0.979798,1.198457
0.420,down,square,-5.000,25,1,0.504202,0.201918,0.020590,0.248762,0.025367,1032.1573,0.1573,0.004777,1.138988,1.608953,0.000000,0.098824,2.198319,0.626443,1.158446,1.334924
0.490,down,square,-5.000,25,1,0.588235,0.233299,0.023790,0.283317,0.028890,1032.1791,0.1791,0.005100,1.308555,1.856276,0.000000,0.115294,2.564706,0.719705,1.336519,1.470952
0.560,down,square,-5.000,25,1,0.672269,0.263822,0.026902,0.316112,0.032234,1032.1999,0.1999,0.005332,1.474576,2.103765,0.000000,0.131765,2.931092,0.811017,1.514711,1.607071
0.630,down,square,-5.000,25,1,0.756303,0.293489,0.029928,0.347090,0.035393,1032.2194,0.2194,0.005466,1.639375,2.352374,0.000000,0.148235,3.297479,0.901656,1.693709,1.743806
0.700,down,square,-5.000,25,1,0.840336,0.322337,0.032869,0.376257,0.038368,1032.2379,0.2379,0.005498,1.805441,2.603000,0.000000,0.164706,3.663866,0.992993,1.874160,1.881650
0.770,down,square,-5.000,25,1,0.924370,0.350442,0.035735,0.403679,0.041164,1032.2552,0.2552,0.005429,1.975093,2.856434,0.000000,0.181176,4.030252,1.086301,2.056632,2.021039
0.840,down,square,-5.000,25,1,1.008403,0.377910,0.038536,0.429479,0.043795,1032.2715,0.2715,0.005259,2.150163,3.113317,0.000000,0.197647,4.396639,1.182590,2.241588,2.162324
0.910,down,square,-5.000,25,1,1.092437,0.404876,0.041286,0.453836,0.046278,1032.2869,0.2869,0.004993,2.331751,3.374111,0.000000,0.214118,4.763025,1.282463,2.429360,2.305761
0.980,down,square,-5.000,25,1,1.176471,0.431497,0.044000,0.476973,0.048638,1032.3016,0.3016,0.004637,2.520073,3.639069,0.000000,0.230588,5.129412,1.386040,2.620130,2.451488
1.050,down,square,-5.000,25,1,1.260504,0.457946,0.046697,0.499152,0.050899,1032.3156,0.3156,0.004202,2.714437,3.908228,0.000000,0.247059,5.495798,1.492940,2.813924,2.599526
1.120,down,square,-5.000,25,1,1.344538,0.484402,0.049395,0.520661,0.053093,1032.3292,0.3292,0.003697,2.913330,4.181402,0.000000,0.263529,5.862185,1.602331,3.010609,2.749771
1.190,down,square,-5.000,25,1,1.428571,0.511044,0.052112,0.541806,0.055249,1032.3425,0.3425,0.003137,3.114626,4.458193,0.000000,0.280000,6.228571,1.713045,3.209899,2.902006
1.260,down,square,-5.000,25,1,1.512605,0.538045,0.054865,0.562900,0.057400,1032.3559,0.3559,0.002534,3.315877,4.738013,0.000000,0.296471,6.594958,1.823732,3.411370,3.055907
1.330,down,square,-5.000,25,1,1.596639,0.565559,0.057671,0.584247,0.059577,1032.3694,0.3694,0.001906,3.514638,5.020116,0.000000,0.312941,6.961345,1.933051,3.614483,3.211064
1.400,down,square,-5.000,25,1,1.680672,0.593720,0.060543,0.606140,0.061809,1032.3832,0.3832,0.001267,3.708801,5.303633,0.000000,0.329412,7.327731,2.039841,3.818616,3.366998
1.470,down,square,-5.000,25,1,1.764706,0.622632,0.063491,0.628842,0.064124,1032.3976,0.3976,0.000633,3.896883,5.587622,0.000000,0.345882,7.694118,2.143285,4.023088,3.523192
1.540,down,square,-5.000,25,1,1.848739,0.652366,0.066523,0.652584,0.066545,1032.4126,0.4126,0.000022,4.078221,5.871118,0.000000,0.362353,8.060504,2.243021,4.227205,3.679115
1.610,down,square,-5.000,25,1,1.932773,0.682959,0.069642,0.677554,0.069091,1032.4284,0.4284,-0.000551,4.253067,6.153178,0.000000,0.378824,8.426891,2.339187,4.430288,3.834248
1.680,down,square,-5.000,25,1,2.016807,0.714407,0.072849,0.703894,0.071777,1032.4450,0.4450,-0.001072,4.422550,6.432937,0.000000,0.395294,8.793277,2.432403,4.631715,3.988115
1.750,down,square,-5.000,25,1,2.100840,0.746671,0.076139,0.731694,0.074612,1032.4626,0.4626,-0.001527,4.588526,6.709652,0.000000,0.411765,9.159664,2.523690,4.830949,4.140308
1.820,down,square,-5.000,25,1,2.184874,0.779676,0.079505,0.760993,0.077600,1032.4811,0.4811,-0.001905,4.753326,6.982738,0.000000,0.428235,9.526050,2.614329,5.027571,4.290506
1.890,down,square,-5.000,25,1,2.268908,0.813312,0.082935,0.791777,0.080739,1032.5006,0.5006,-0.002196,4.919438,7.251803,0.000000,0.444706,9.892437,2.705691,5.221298,4.438491
1.960,down,square,-5.000,25,1,2.352941,0.847445,0.086415,0.823982,0.084023,1032.5209,0.5209,-0.002392,5.089175,7.516665,0.000000,0.461176,10.258824,2.799046,5.411999,4.584166
2.030,down,square,-5.000,25,1,2.436975,0.881915,0.089930,0.857501,0.087441,1032.5421,0.5421,-0.002490,5.264358,7.777367,0.000000,0.477647,10.625210,2.895397,5.599704,4.727552
2.100,down,square,-5.000,25,1,2.521008,0.916551,0.093462,0.892185,0.090978,1032.5641,0.5641,-0.002485,5.446071,8.034166,0.000000,0.494118,10.991597,2.995339,5.784599,4.868791
2.170,down,square,-5.000,25,1,2.605042,0.951173,0.096993,0.927852,0.094615,1032.5866,0.5866,-0.002378,5.634514,8.287528,0.000000,0.510588,11.357983,3.098983,5.967020,5.008140
2.240,down,square,-5.000,25,1,2.689076,0.985600,0.100503,0.964297,0.098331,1032.6097,0.6097,-0.002172,5.828977,8.538099,0.000000,0.527059,11.724370,3.205937,6.147431,5.145954
2.310,down,square,-5.000,25,1,2.773109,1.019663,0.103977,1.001298,0.102104,1032.6330,0.6330,-0.001873,6.027934,8.786672,0.000000,0.543529,12.090756,3.315364,6.326404,5.282670
2.380,down,square,-5.000,25,1,2.857143,1.053207,0.107397,1.038624,0.105910,1032.6566,0.6566,-0.001487,6.229253,9.034147,0.000000,0.560000,12.457143,3.426089,6.504586,5.418781
2.450,down,square,-5.000,25,1,2.941176,1.086100,0.110751,1.076047,0.109726,1032.6803,0.6803,-0.001025,6.430479,9.281478,0.000000,0.576471,12.823529,3.536764,6.682664,5.554813
2.520,down,square,-5.000,25,1,3.025210,1.118237,0.114028,1.113348,0.113530,1032.7039,0.7039,-0.000499,6.629172,9.529629,0.000000,0.592941,13.189916,3.646045,6.861333,5.691296
2.590,down,square,-5.000,25,1,3.109244,1.149550,0.117222,1.150325,0.117301,1032.7273,0.7273,0.000079,6.823235,9.779522,0.000000,0.609412,13.556303,3.752779,7.041256,5.828737
2.660,down,square,-5.000,25,1,3.193277,1.180005,0.120327,1.186799,0.121020,1032.7503,0.7503,0.000693,7.011196,10.031985,0.000000,0.625882,13.922689,3.856158,7.223029,5.967592
2.730,down,square,-5.000,25,1,3.277311,1.209604,0.123345,1.222621,0.124673,1032.7730,0.7730,0.001327,7.192409,10.287711,0.000000,0.642353,14.289076,3.955825,7.407152,6.108241
2.800,down,square,-5.000,25,1,3.361345,1.238390,0.126281,1.257672,0.128247,1032.7951,0.7951,0.001966,7.367144,10.547223,0.000000,0.658824,14.655462,4.051929,7.594000,6.250972
2.870,down,square,-5.000,25,1,3.445378,1.266439,0.129141,1.291870,0.131734,1032.8168,0.8168,0.002593,7.536544,10.810841,0.000000,0.675294,15.021849,4.145099,7.783806,6.395963
2.940,down,square,-5.000,25,1,3.529412,1.293862,0.131937,1.325167,0.135129,1032.8378,0.8378,0.003192,7.702476,11.078674,0.000000,0.691765,15.388235,4.236362,7.976645,6.543270
3.010,down,square,-5.000,25,1,3.613445,1.320794,0.134683,1.357550,0.138432,1032.8583,0.8583,0.003748,7.867278,11.350603,0.000000,0.708235,15.754622,4.327003,8.172434,6.692832
3.080,down,square,-5.000,25,1,3.697479,1.347395,0.137396,1.389038,0.141642,1032.8782,0.8782,0.004246,8.033437,11.626298,0.000000,0.724706,16.121008,4.418390,8.370935,6.844464
3.150,down,square,-5.000,25,1,3.781513,1.373837,0.140092,1.419680,0.144767,1032.8976,0.8976,0.004675,8.203260,11.905229,0.000000,0.741176,16.487395,4.511793,8.571765,6.997876
3.220,down,square,-5.000,25,1,3.865546,1.400302,0.142791,1.449549,0.147813,1032.9164,0.9164,0.005022,8.378555,12.186694,0.000000,0.757647,16.853782,4.608205,8.774420,7.152682
3.290,down,square,-5.000,25,1,3.949580,1.426967,0.145510,1.478736,0.150789,1032.9349,0.9349,0.005279,8.560393,12.469861,0.000000,0.774118,17.220168,4.708216,8.978300,7.308424
3.360,down,square,-5.000,25,1,4.033613,1.454003,0.148267,1.507347,0.153707,1032.9530,0.9530,0.005440,8.748956,12.753805,0.000000,0.790588,17.586555,4.811926,9.182740,7.464593
3.430,down,square,-5.000,25,1,4.117647,1.481564,0.151078,1.535497,0.156577,1032.9708,0.9708,0.005500,8.943518,13.037562,0.000000,0.807059,17.952941,4.918935,9.387045,7.620659
3.500,down,square,-5.000,25,1,4.201681,1.509782,0.153955,1.563301,0.159412,1032.9884,0.9884,0.005457,9.142540,13.320177,0.000000,0.823529,18.319328,5.028397,9.590527,7.776097
3.570,down,square,-5.000,25,1,4.285714,1.538757,0.156910,1.590871,0.162224,1033.0058,1.0058,0.005314,9.343879,13.600756,0.000000,0.840000,18.685714,5.139134,9.792544,7.930416
3.640,down,square,-5.000,25,1,4.369748,1.568560,0.159949,1.618313,0.165022,1033.0231,1.0231,0.005073,9.545080,13.878511,0.000000,0.856471,19.052101,5.249794,9.992528,8.083181
3.710,down,square,-5.000,25,1,4.453782,1.599221,0.163075,1.645719,0.167817,1033.0405,1.0405,0.004741,9.743706,14.152804,0.000000,0.872941,19.418487,5.359038,10.190019,8.234042
3.780,down,square,-5.000,25,1,4.537815,1.630737,0.166289,1.673167,0.170616,1033.0578,1.0578,0.004327,9.937667,14.423178,0.000000,0.889412,19.784874,5.465717,10.384688,8.382748
3.850,down,square,-5.000,25,1,4.621849,1.663064,0.169585,1.700718,0.173425,1033.0752,1.0752,0.003840,10.125507,14.689384,0.000000,0.905882,20.151261,5.569029,10.576357,8.529161
3.920,down,square,-5.000,25,1,4.705882,1.696123,0.172956,1.728416,0.176249,1033.0927,1.0927,0.003293,10.306596,14.951392,0.000000,0.922353,20.517647,5.668628,10.765002,8.673265
3.990,down,square,-5.000,25,1,4.789916,1.729805,0.176391,1.756286,0.179091,1033.1104,1.1104,0.002700,10.481219,15.209391,0.000000,0.938824,20.884034,5.764670,10.950762,8.815165
4.060,down,square,-5.000,25,1,4.873950,1.763970,0.179875,1.784340,0.181952,1033.1281,1.1281,0.002077,10.650536,15.463785,0.000000,0.955294,21.250420,5.857795,11.133925,8.955082
4.130,down,square,-5.000,25,1,4.957983,1.798461,0.183392,1.812573,0.184831,1033.1460,1.1460,0.001439,10.816426,15.715164,0.000000,0.971765,21.616807,5.949034,11.314918,9.093340
4.200,up,square,-5.000,25,1,4.957983,1.514257,0.154411,1.522129,0.155214,1032.9623,0.9623,0.000803,10.798037,15.698650,0.000000,0.971765,21.616807,5.938920,11.303028,9.084258
4.270,up,square,-5.000,25,1,4.873950,1.492675,0.152210,1.494480,0.152395,1032.9448,0.9448,0.000184,10.597857,15.415112,0.000000,0.955294,21.250420,5.828821,11.098880,8.928311
4.340,up,square,-5.000,25,1,4.789916,1.470884,0.149988,1.466953,0.149588,1032.9274,0.9274,-0.000401,10.401379,15.131122,0.000000,0.938824,20.884034,5.720759,10.894408,8.772117
4.410,up,square,-5.000,25,1,4.705882,1.448716,0.147728,1.439524,0.146791,1032.9101,0.9101,-0.000937,10.210402,14.847649,0.000000,0.922353,20.517647,5.615721,10.690308,8.616207
4.480,up,square,-5.000,25,1,4.621849,1.426018,0.145413,1.412175,0.144002,1032.8928,0.8928,-0.001412,10.025978,14.565633,0.000000,0.905882,20.151261,5.514288,10.487255,8.461098
4.550,up,square,-5.000,25,1,4.537815,1.402658,0.143031,1.384895,0.141220,1032.8756,0.8756,-0.001811,9.848275,14.285935,0.000000,0.889412,19.784874,5.416551,10.285873,8.307264
4.620,up,square,-5.000,25,1,4.453782,1.378537,0.140572,1.357683,0.138445,1032.8584,0.8584,-0.002127,9.676548,14.009297,0.000000,0.872941,19.418487,5.322102,10.086694,8.155113
4.690,up,square,-5.000,25,1,4.369748,1.353587,0.138027,1.330551,0.135678,1032.8412,0.8412,-0.002349,9.509247,13.736298,0.000000,0.856471,19.052101,5.230086,9.890135,8.004964
4.760,up,square,-5.000,25,1,4.285714,1.327778,0.135396,1.303523,0.132922,1032.8241,0.8241,-0.002473,9.344220,13.467328,0.000000,0.840000,18.685714,5.139321,9.696476,7.857030
4.830,up,square,-5.000,25,1,4.201681,1.301115,0.132677,1.276637,0.130181,1032.8071,0.8071,-0.002496,9.179008,13.202561,0.000000,0.823529,18.319328,5.048455,9.505844,7.711408
4.900,up,square,-5.000,25,1,4.117647,1.273644,0.129875,1.249944,0.127459,1032.7902,0.7902,-0.002417,9.011179,12.941952,0.000000,0.807059,17.952941,4.956148,9.318205,7.568073
4.970,up,square,-5.000,25,1,4.033613,1.245443,0.127000,1.223503,0.124763,1032.7735,0.7735,-0.002237,8.838652,12.685237,0.000000,0.790588,17.586555,4.861258,9.133370,7.426880
5.040,up,square,-5.000,25,1,3.949580,1.216626,0.124061,1.197381,0.122099,1032.7570,0.7570,-0.001962,8.659983,12.431946,0.000000,0.774118,17.220168,4.762991,8.951001,7.287570
5.110,up,square,-5.000,25,1,3.865546,1.187331,0.121074,1.171649,0.119475,1032.7407,0.7407,-0.001599,8.474561,12.181429,0.000000,0.757647,16.853782,4.661009,8.770629,7.149786
5.180,up,square,-5.000,25,1,3.781513,1.157718,0.118054,1.146375,0.116898,1032.7248,0.7248,-0.001157,8.282687,11.932891,0.000000,0.741176,16.487395,4.555478,8.591681,7.013090
5.250,up,square,-5.000,25,1,3.697479,1.127960,0.115020,1.121622,0.114374,1032.7091,0.7091,-0.000646,8.085536,11.685431,0.000000,0.724706,16.121008,4.447045,8.413510,6.876987
5.320,up,square,-5.000,25,1,3.613445,1.098239,0.111989,1.097444,0.111908,1032.6938,0.6938,-0.000081,7.884997,11.438092,0.000000,0.708235,15.754622,4.336748,8.235426,6.740950
5.390,up,square,-5.000,25,1,3.529412,1.068733,0.108980,1.073876,0.109505,1032.6789,0.6789,0.000524,7.683418,11.189910,0.000000,0.691765,15.388235,4.225880,8.056736,6.604451
5.460,up,square,-5.000,25,1,3.445378,1.039611,0.106011,1.050937,0.107166,1032.6644,0.6644,0.001155,7.483287,10.939968,0.000000,0.675294,15.021849,4.115808,7.876777,6.466982
5.530,up,square,-5.000,25,1,3.361345,1.011026,0.103096,1.028621,0.104890,1032.6503,0.6503,0.001794,7.286896,10.687438,0.000000,0.658824,14.655462,4.007793,7.694956,6.328091
5.600,up,square,-5.000,25,1,3.277311,0.983106,0.100249,1.006897,0.102675,1032.6366,0.6366,0.002426,7.096033,10.431631,0.000000,0.642353,14.289076,3.902818,7.510774,6.187397
