elapsed_s,phase,shape_name,target_depth_mm,report_sample_target,trial,indentation_depth_mm,load_force_n,load_kg,pressure_force_n,pressure_kg_eq,pressure_hpa,pressure_delta_hpa,error_kg,dot_mean_px,dot_max_px,missing_ratio,contact_peak,contact_area_ratio,residual_mean_px,residual_peak_px,surface_scale_px
0.000,down,star,-7.500,30,1,0.000000,0.000000,0.000000,0.014710,0.001500,1032.0093,0.0093,0.001500,0.000000,0.080000,0.000000,0.000000,0.000000,0.000000,0.057600,0.494000
0.070,down,star,-7.500,30,1,0.126050,0.042755,0.004360,0.063714,0.006497,1032.0403,0.0403,0.002137,0.250014,0.414196,0.000000,0.016471,0.463866,0.137507,0.298221,0.677808
0.280,down,star,-7.500,30,1,0.504202,0.169270,0.017261,0.207406,0.021149,1032.1311,0.1311,0.003889,0.977525,1.393676,0.000000,0.065882,1.855462,0.537639,1.003447,1.216522
0.560,down,star,-7.500,30,1,1.008403,0.328826,0.033531,0.381116,0.038863,1032.2410,0.2410,0.005332,1.864492,2.669143,0.000000,0.131765,3.710924,1.025471,1.921783,1.918029
0.840,down,star,-7.500,30,1,1.512605,0.475416,0.048479,0.526985,0.053738,1032.3332,0.3332,0.005259,2.735037,3.961384,0.000000,0.197647,5.566387,1.504270,2.852197,2.628761
1.120,down,star,-7.500,30,1,2.016807,0.614410,0.062652,0.650669,0.066350,1032.4114,0.4114,0.003697,3.693162,5.312158,0.000000,0.263529,7.421849,2.031239,3.824754,3.371687
1.470,down,star,-7.500,30,1,2.647059,0.793267,0.080891,0.799478,0.081524,1032.5054,0.5054,0.000633,4.920412,7.071740,0.000000,0.345882,9.741176,2.706227,5.091653,4.339457
1.750,down,star,-7.500,30,1,3.151261,0.949809,0.096854,0.934832,0.095326,1032.5910,0.5910,-0.001527,5.807014,8.476458,0.000000,0.411765,11.596639,3.193858,6.103050,5.112052
2.030,down,star,-7.500,30,1,3.655462,1.117555,0.113959,1.093141,0.111469,1032.6911,0.6911,-0.002490,6.677803,9.826862,0.000000,0.477647,13.452101,3.672792,7.075341,5.854774
2.310,down,star,-7.500,30,1,4.159664,1.287805,0.131320,1.269440,0.129447,1032.8026,0.8026,-0.001873,7.636338,11.118857,0.000000,0.543529,15.307563,4.199986,8.005577,6.565372
2.590,down,star,-7.500,30,1,4.663866,1.450194,0.147879,1.450969,0.147958,1032.9173,0.9173,0.000079,8.626596,12.394396,0.000000,0.609412,17.163025,4.744628,8.923965,7.266918
2.870,down,star,-7.500,30,1,5.168067,1.599585,0.163112,1.625015,0.165705,1033.0274,1.0274,0.002593,9.534863,13.708404,0.000000,0.675294,19.018487,5.244175,9.870051,7.989622
3.150,down,star,-7.500,30,1,5.672269,1.739485,0.177378,1.785328,0.182053,1033.1287,1.1287,0.004675,10.396537,15.085481,0.000000,0.741176,20.873950,5.718095,10.861546,8.747014
3.360,down,star,-7.500,30,1,6.050420,1.844027,0.188038,1.897372,0.193478,1033.1996,1.1996,0.005440,11.088452,16.146074,0.000000,0.790588,22.265546,6.098649,11.625173,9.330341
3.430,down,star,-7.500,30,1,6.176471,1.879714,0.191678,1.933647,0.197177,1033.2225,1.2225,0.005500,11.331753,16.500503,0.000000,0.807059,22.729412,6.232464,11.880362,9.525277
3.710,down,star,-7.500,30,1,6.680672,2.029873,0.206989,2.076371,0.211731,1033.3127,1.3127,0.004741,12.326899,17.898434,0.000000,0.872941,24.584874,6.779795,12.886872,10.294139
3.990,down,star,-7.500,30,1,7.184874,2.192959,0.223620,2.219440,0.226320,1033.4032,1.4032,0.002700,13.259370,19.237711,0.000000,0.938824,26.440336,7.292654,13.851152,11.030741
