elapsed_s,phase,shape_name,target_depth_mm,report_sample_target,trial,indentation_depth_mm,load_force_n,load_kg,pressure_force_n,pressure_kg_eq,pressure_hpa,pressure_delta_hpa,error_kg,dot_mean_px,dot_max_px,missing_ratio,contact_peak,contact_area_ratio,residual_mean_px,residual_peak_px,surface_scale_px
0.000,down,star,-7.500,30,1,0.000000,0.000000,0.000000,0.014710,0.001500,1032.0093,0.0093,0.001500,0.000000,0.080000,0.000000,0.000000,0.000000,0.000000,0.057600,0.494000
0.070,down,star,-7.500,30,1,0.126050,0.042755,0.004360,0.063714,0.006497,1032.0403,0.0403,0.002137,0.250014,0.414196,0.000000,0.016471,0.463866,0.137507,0.298221,0.677808
0.140,down,star,-7.500,30,1,0.252101,0.085330,0.008701,0.112379,0.011460,1032.0710,0.0710,0.002758,0.497580,0.744289,0.000000,0.032941,0.927731,0.273669,0.535888,0.859359
0.210,down,star,-7.500,30,1,0.378151,0.127554,0.013007,0.160378,0.016354,1032.1014,0.1014,0.003347,0.740583,1.070607,0.000000,0.049412,1.391597,0.407321,0.770837,1.038834
0.280,down,star,-7.500,30,1,0.504202,0.169270,0.017261,0.207406,0.021149,1032.1311,0.1311,0.003889,0.977525,1.393676,0.000000,0.065882,1.855462,0.537639,1.003447,1.216522
0.350,down,star,-7.500,30,1,0.630252,0.210344,0.021449,0.253194,0.025819,1032.1601,0.1601,0.004369,1.207728,1.714192,0.000000,0.082353,2.319328,0.664250,1.234218,1.392805
0.420,down,star,-7.500,30,1,0.756303,0.250671,0.025561,0.297515,0.030338,1032.1881,0.1881,0.004777,1.431425,2.032986,0.000000,0.098824,2.783193,0.787284,1.463750,1.568143
0.490,down,star,-7.500,30,1,0.882353,0.290177,0.029590,0.340195,0.034690,1032.2151,0.2151,0.005100,1.649732,2.350982,0.000000,0.115294,3.247059,0.907352,1.692707,1.743040
0.560,down,star,-7.500,30,1,1.008403,0.328826,0.033531,0.381116,0.038863,1032.2410,0.2410,0.005332,1.864492,2.669143,0.000000,0.131765,3.710924,1.025471,1.921783,1.918029
0.630,down,star,-7.500,30,1,1.134454,0.366619,0.037385,0.420220,0.042851,1032.2657,0.2657,0.005466,2.078030,2.988425,0.000000,0.148235,4.174790,1.142917,2.151666,2.093634
0.700,down,star,-7.500,30,1,1.260504,0.403593,0.041155,0.457512,0.046653,1032.2893,0.2893,0.005498,2.292836,3.309723,0.000000,0.164706,4.638655,1.261060,2.383001,2.270348
0.770,down,star,-7.500,30,1,1.386555,0.439823,0.044849,0.493059,0.050278,1032.3117,0.3117,0.005429,2.511227,3.633829,0.000000,0.181176,5.102521,1.381175,2.616357,2.448606
0.840,down,star,-7.500,30,1,1.512605,0.475416,0.048479,0.526985,0.053738,1032.3332,0.3332,0.005259,2.735037,3.961384,0.000000,0.197647,5.566387,1.504270,2.852197,2.628761
0.910,down,star,-7.500,30,1,1.638655,0.510508,0.052057,0.559468,0.057050,1032.3537,0.3537,0.004993,2.965364,4.292850,0.000000,0.214118,6.030252,1.630950,3.090852,2.811068
0.980,down,star,-7.500,30,1,1.764706,0.545254,0.055600,0.590730,0.060238,1032.3735,0.3735,0.004637,3.202426,4.628481,0.000000,0.230588,6.494118,1.761335,3.332506,2.995665
1.050,down,star,-7.500,30,1,1.890756,0.579828,0.059126,0.621035,0.063328,1032.3926,0.3926,0.004202,3.445530,4.968312,0.000000,0.247059,6.957983,1.895041,3.577185,3.182572
1.120,down,star,-7.500,30,1,2.016807,0.614410,0.062652,0.650669,0.066350,1032.4114,0.4114,0.003697,3.693162,5.312158,0.000000,0.263529,7.421849,2.031239,3.824754,3.371687
