elapsed_s,phase,shape_name,target_depth_mm,report_sample_target,trial,indentation_depth_mm,load_force_n,load_kg,pressure_force_n,pressure_kg_eq,pressure_hpa,pressure_delta_hpa,error_kg,dot_mean_px,dot_max_px,missing_ratio,contact_peak,contact_area_ratio,residual_mean_px,residual_peak_px,surface_scale_px
0.000,idle,sample,-2.500,10,1,0.000000,0.009256,0.000944,-2.452703,-0.250106,1037.6086,0.6010,-0.251050,1.626585,3.162278,0.159091,0.156386,47.641614,1.217233,2.685693,1.207043
0.021,down,sample,-2.500,10,1,0.000000,0.009256,0.000944,-2.452703,-0.250106,1037.6086,0.6010,-0.251050,1.626585,3.162278,0.159091,0.156386,47.641614,1.217233,2.685693,1.207043
0.528,down,sample,-2.500,10,1,2.028650,0.009256,0.000944,-2.366710,-0.241337,1037.7434,0.7359,-0.242281,1.626585,3.162278,0.159091,0.156386,47.641614,1.217233,2.685693,1.207043
0.973,settle,sample,-2.500,10,1,3.809082,0.009256,0.000944,-2.366710,-0.241337,1037.7434,0.7359,-0.242281,1.626585,3.162278,0.159091,0.156386,47.641614,1.217233,2.685693,1.207043
1.051,settle,sample,-2.500,10,1,3.809082,0.009256,0.000944,-2.366710,-0.241337,1037.7434,0.7359,-0.242281,1.626585,3.162278,0.159091,0.156386,47.641614,1.217233,2.685693,1.207043
1.281,settle,sample,-2.500,10,1,3.809082,0.009256,0.000944,-2.383991,-0.243099,1037.7163,0.7088,-0.244043,1.626585,3.162278,0.159091,0.156386,47.641614,1.217233,2.685693,1.207043
1.312,up,sample,-2.500,10,1,3.809082,0.009256,0.000944,-2.383991,-0.243099,1037.7163,0.7088,-0.244043,1.626585,3.162278,0.159091,0.156386,47.641614,1.217233,2.685693,1.207043
1.791,up,sample,-2.500,10,1,1.892675,0.009256,0.000944,-2.358438,-0.240494,1037.7564,0.7488,-0.241438,1.626585,3.162278,0.159091,0.156386,47.641614,1.217233,2.685693,1.207043
1.928,up,sample,-2.500,10,1,1.345707,0.009256,0.000944,-2.358438,-0.240494,1037.7564,0.7488,-0.241438,1.626585,3.162278,0.159091,0.156386,47.641614,1.217233,2.685693,1.207043
2.270,complete,sample,-2.500,10,1,0.000000,0.009256,0.000944,-2.358438,-0.240494,1037.7564,0.7488,-0.241438,1.626585,3.162278,0.159091,0.156386,47.641614,1.217233,2.685693,1.207043
